ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcsanzhi,Sanzhi Dargwa,Eurasia,41.97796,47.5667,sanz1248,,"Nakh-Daghestanian (Caucasian), Dargwa, Southern Dargwa","Druzhba town, central Daghestan, Russia",Sanzhi
en,English,,,,stan1293,,,,
